region21_name,ltla21_name
East Midlands,North Northamptonshire
East Midlands,West Northamptonshire
East of England,Luton
London,Lewisham
North East,Stockton-on-Tees
North West,Blackburn with Darwen
North West,Bolton
North West,Halton
North West,Knowsley
North West,Manchester
North West,Preston
North West,Ribble Valley
North West,Rochdale
North West,Salford
North West,South Lakeland
South East,Hastings
South East,Rushmoor
South East,Spelthorne
South East,Swale
South West,Cornwall
South West,Gloucester
South West,North Devon
South West,Plymouth
South West,Torridge
West Midlands,Bromsgrove
West Midlands,Coventry
West Midlands,Sandwell
West Midlands,Worcester
Yorkshire and The Humber,Barnsley
Yorkshire and The Humber,North East Lincolnshire
Yorkshire and The Humber,Scarborough
NA,Belfast
NA,Cardiff
NA,Conwy
NA,Denbighshire
NA,Derry City and Strabane
NA,Glasgow City
NA,Midlothian
NA,Stirling
NA,West Lothian
